精选题号,章节,原题号,题干,答案,正确选项,原题链接,配图
1,证照与车辆管理,10,驾驶机动车应当随身携带哪种证件？,B,B、驾驶证,https://www.aijiaxiao.com/tiba/10/,
2,证照与车辆管理,11,未取得驾驶证的学员在道路上学习驾驶技能，下列哪种做法是正确的？,A,A、使用所学车型的教练车由教练员随车指导,https://www.aijiaxiao.com/tiba/11/,
3,证照与车辆管理,12,机动车驾驶人初次申领驾驶证后的实习期是多长时间？,B,B、12个月,https://www.aijiaxiao.com/tiba/12/,
4,证照与车辆管理,13,在实习期内驾驶机动车的，应当在车身后部粘贴或者悬挂哪种标志？,C,C、统一式样的实习标志,https://www.aijiaxiao.com/tiba/13/,
5,证照与车辆管理,483,机动车驾驶证补领后，以下说法正确的是什么？,B,B、原驾驶证作废，不得继续使用,https://www.aijiaxiao.com/tiba/483/,
6,证照与车辆管理,15,驾驶人要按照驾驶证载明的准驾车型驾驶车辆。,A,A、正确,https://www.aijiaxiao.com/tiba/15/,
7,证照与车辆管理,19,机动车驾驶人在实习期内驾驶机动车不得牵引挂车。,A,A、正确,https://www.aijiaxiao.com/tiba/19/,
8,证照与车辆管理,24,驾驶机动车上路前应当检查车辆安全技术性能。,A,A、正确,https://www.aijiaxiao.com/tiba/24/,
9,证照与车辆管理,25,不得驾驶具有安全隐患的机动车上道路行驶。,A,A、正确,https://www.aijiaxiao.com/tiba/25/,
10,证照与车辆管理,28,下列哪种证件是驾驶机动车上路行驶应当随车携带？,C,C、机动车行驶证,https://www.aijiaxiao.com/tiba/28/,
11,证照与车辆管理,31,驾驶人在下列哪种情况下不能驾驶机动车？,A,A、饮酒后,https://www.aijiaxiao.com/tiba/31/,
12,证照与车辆管理,33,驾驶机动车上路行驶应当按规定悬挂号牌。,A,A、正确,https://www.aijiaxiao.com/tiba/33/,
13,证照与车辆管理,38,道路交通安全违法行为累积记分的周期是多长时间？,C,C、12个月,https://www.aijiaxiao.com/tiba/38/,
14,证照与车辆管理,40,驾驶人出现下列哪种情况，不得驾驶机动车？,A,A、驾驶证丢失、损毁,https://www.aijiaxiao.com/tiba/40/,
15,证照与车辆管理,42,驾驶人持超过有效期的驾驶证可以在1年内驾驶机动车。,B,B、错误,https://www.aijiaxiao.com/tiba/42/,
16,证照与车辆管理,44,记分满12分的驾驶人拒不参加学习和考试的将被公告驾驶证停止使用。,A,A、正确,https://www.aijiaxiao.com/tiba/44/,
17,证照与车辆管理,45,驾驶人的机动车驾驶证被依法扣留、暂扣的情况下不得驾驶机动车。,A,A、正确,https://www.aijiaxiao.com/tiba/45/,
18,证照与车辆管理,246,初次申领的机动车驾驶证的有效期为多少年？,C,C、6年,https://www.aijiaxiao.com/tiba/246/,
19,证照与车辆管理,247,准驾车型为小型汽车的，可以驾驶下列哪种车辆？,A,A、低速载货汽车,https://www.aijiaxiao.com/tiba/247/,
20,证照与车辆管理,248,准驾车型为小型自动挡汽车的，可以驾驶以下哪种车型？,D,D、轻型自动挡载货汽车,https://www.aijiaxiao.com/tiba/248/,
21,证照与车辆管理,249,驾驶人在机动车驾驶证的6年有效期内，每个记分周期均未达到12分的，换发10年有效期的机动车驾驶证。,A,A、正确,https://www.aijiaxiao.com/tiba/249/,
22,证照与车辆管理,260,在驾驶技能准考证明的有效期内，科目二和科目三道路驾驶技能考试预约次数不得超过多少次？,C,C、5次,https://www.aijiaxiao.com/tiba/260/,
23,证照与车辆管理,261,驾驶技能准考证明的有效期是多久？,C,C、3年,https://www.aijiaxiao.com/tiba/261/,
24,证照与车辆管理,262,申请人因故不能按照预约时间参加考试的，应当提前一日申请取消预约，对申请人未按照预约考试时间参加考试的，判定该次考试不合格。,A,A、正确,https://www.aijiaxiao.com/tiba/262/,
25,证照与车辆管理,268,机动车购买后尚未注册登记，需要临时上道路行驶的，可以凭什么临时上道路行驶？,B,B、临时行驶车号牌,https://www.aijiaxiao.com/tiba/268/,
26,证照与车辆管理,269,申请人以欺骗、贿赂等不正当手段取得机动车驾驶证的（被撤销的），申请人在多长时间内不得再次申领机动车驾驶证。,D,D、3年,https://www.aijiaxiao.com/tiba/269/,
27,证照与车辆管理,270,申请人在考试过程中有贿赂、舞弊行为的，取消考试资格，已经通过考试的其他科目成绩无效。,A,A、正确,https://www.aijiaxiao.com/tiba/270/,
28,证照与车辆管理,513,已注册登记的机动车，改变机动车车身颜色的应到公安交通管理部门申请变更登记。,A,A、正确,https://www.aijiaxiao.com/tiba/513/,
29,证照与车辆管理,321,驾驶人在驾驶证有效期满前多长时间申请换证？,C,C、90日内,https://www.aijiaxiao.com/tiba/321/,
30,证照与车辆管理,324,驾驶人在驾驶证核发地车辆管理所管辖区以外居住的，可以向居住地车辆管理所申请换证。,A,A、正确,https://www.aijiaxiao.com/tiba/324/,
31,证照与车辆管理,266,机动车登记证书、号牌、行驶证灭失、丢失或者损毁的，机动车所有人应当向哪个部门申请补领、换领。,C,C、登记地车辆管理所,https://www.aijiaxiao.com/tiba/266/,
32,证照与车辆管理,327,驾驶人记分没有达到满分，有罚款尚未缴纳的，记分转入下一记分周期。,A,A、正确,https://www.aijiaxiao.com/tiba/327/,
33,证照与车辆管理,362,已注册登记的小型载客汽车有下列哪种情形，所有人不需要办理变更登记？,B,B、加装前后防撞装置,https://www.aijiaxiao.com/tiba/362/,
34,证照与车辆管理,486,已注册登记的机动车达到国家规定的强制报废标准的，应当向登记地车辆管理所申请注销登记。,A,A、正确,https://www.aijiaxiao.com/tiba/486/,
35,证照与车辆管理,520,实习期驾驶人驾驶机动车上高速公路行驶，以下做法正确的是什么？,C,C、需要持有相应或者更高准驾车型驾驶证三年以上的驾驶人陪同,https://www.aijiaxiao.com/tiba/520/,
36,法律责任与记分,1,驾驶机动车在道路上违反道路交通安全法的行为，属于什么行为？,B,B、违法行为,https://www.aijiaxiao.com/tiba/1/,
37,法律责任与记分,2,机动车驾驶人违法驾驶造成重大交通事故构成犯罪的，依法追究什么责任？,A,A、刑事责任,https://www.aijiaxiao.com/tiba/2/,
38,法律责任与记分,3,机动车驾驶人造成事故后逃逸构成犯罪的，吊销驾驶证且多长时间不得重新取得驾驶证？,C,C、终生,https://www.aijiaxiao.com/tiba/3/,
39,法律责任与记分,35,服用国家管制的精神药品可以短途驾驶机动车。,B,B、错误,https://www.aijiaxiao.com/tiba/35/,
40,法律责任与记分,36,饮酒后只要不影响驾驶操作可以短距离驾驶机动车。,B,B、错误,https://www.aijiaxiao.com/tiba/36/,
41,法律责任与记分,283,驾驶机动车在道路上追逐竞驶，情节恶劣，会受到什么处罚？,A,A、处拘役，并处罚金,https://www.aijiaxiao.com/tiba/283/,
42,法律责任与记分,285,醉酒驾驶机动车在道路上行驶会受到什么处罚？,B,B、处拘役，并处罚金,https://www.aijiaxiao.com/tiba/285/,
43,法律责任与记分,307,机动车驾驶人在一个记分周期内累积记分达到12分，拒不参加学习和考试的，将被公安机关交通管理部门公告其驾驶证停止使用。,A,A、正确,https://www.aijiaxiao.com/tiba/307/,
44,法律责任与记分,319,酒后驾驶发生重大交通事故被依法追究刑事责任的人不能申请机动车驾驶证。,A,A、正确,https://www.aijiaxiao.com/tiba/319/,
45,法律责任与记分,320,造成交通事故后逃逸构成犯罪的人不能申请机动车驾驶证。,A,A、正确,https://www.aijiaxiao.com/tiba/320/,
46,法律责任与记分,338,提供虚假材料申领驾驶证的申请人会承担下列哪种法律责任？,C,C、1年内不得再次申领驾驶证,https://www.aijiaxiao.com/tiba/338/,
47,法律责任与记分,342,饮酒后驾驶机动车一次记几分？,D,D、12分,https://www.aijiaxiao.com/tiba/342/,
48,法律责任与记分,346,使用伪造、变造的机动车号牌一次记几分？,D,D、12分,https://www.aijiaxiao.com/tiba/346/,
49,法律责任与记分,349,驾驶人驾驶机动车违反道路交通信号灯通行一次记多少分?,C,C、6分,https://www.aijiaxiao.com/tiba/349/,
50,法律责任与记分,340,驾驶人有下列哪种违法行为一次记12分？,B,B、使用伪造机动车号牌,https://www.aijiaxiao.com/tiba/340/,
51,法律责任与记分,354,使用伪造、变造的驾驶证一次记12分。,A,A、正确,https://www.aijiaxiao.com/tiba/354/,
52,法律责任与记分,356,驾驶机动车在高速公路上倒车、逆行、穿越中央分隔带掉头的一次记6分。,B,B、错误,https://www.aijiaxiao.com/tiba/356/,
53,法律责任与记分,360,驾驶机动车在高速公路违法占用应急车道行驶的一次记6分。,A,A、正确,https://www.aijiaxiao.com/tiba/360/,
54,法律责任与记分,462,交通肇事致一人以上重伤，负事故全部或者主要责任，并具有下列哪种行为的，构成交通肇事罪?,B,B、酒后、吸食毒品后驾驶机动车辆的,https://www.aijiaxiao.com/tiba/462/,
55,法律责任与记分,497,当驾驶人的血液中酒精含量为100毫克/100毫升时，属于醉酒驾驶。,A,A、正确,https://www.aijiaxiao.com/tiba/497/,
56,法律责任与记分,518,以下哪项行为可构成危险驾驶罪？,D,D、醉驾,https://www.aijiaxiao.com/tiba/518/,
57,法律责任与记分,549,机动车驾驶人血液中酒精含量大于或者等于多少可认定为醉驾？,C,C、80毫克/100毫升,https://www.aijiaxiao.com/tiba/549/,
58,法律责任与记分,559,关于醉酒驾驶机动车的处罚，以下说法错误的是什么？,D,D、记6分,https://www.aijiaxiao.com/tiba/559/,
59,法律责任与记分,1080,以下哪种行为处十日以下拘留，并处一千元以上二千元以下罚款，吊销机动车驾驶证？,D,D、因饮酒后驾驶机动车被处罚，再次饮酒后驾驶机动车的,https://www.aijiaxiao.com/tiba/1080/,
60,法律责任与记分,1108,机动车驾驶人有以下哪种违法行为的，暂扣六个月机动车驾驶证？,C,C、饮酒后驾驶机动车的,https://www.aijiaxiao.com/tiba/1108/,
61,法律责任与记分,1110,驾驶拼装的机动车上道路行驶的，公安机关交通管理部门应当予以收缴，强制报废，并吊销机动车驾驶证。,A,A、正确,https://www.aijiaxiao.com/tiba/1110/,
62,法律责任与记分,1112,驾驶机动车造成交通事故后逃逸，尚不构成犯罪的，由公安机关交通管理部门处二百元以上二千元以下罚款，可以并处15日以下拘留。,A,A、正确,https://www.aijiaxiao.com/tiba/1112/,
63,法律责任与记分,1113,机动车驾驶人一次有两个以上违法行为记分的，应当分别计算累加分值。,A,A、正确,https://www.aijiaxiao.com/tiba/1113/,
64,法律责任与记分,1114,隐瞒有关情况或者提供虚假材料申领机动车驾驶证的，申请人在1年内不得再次申领机动车驾驶证。,A,A、正确,https://www.aijiaxiao.com/tiba/1114/,
65,法律责任与记分,1120,申请人以不正当手段取得机动车驾驶证的，公安机关交通管理部门收缴机动车驾驶证，撤销机动车驾驶许可，申请人在3年内不得再次申领机动车驾驶证。,A,A、正确,https://www.aijiaxiao.com/tiba/1120/,
